        Rank         Score    Variable
      620.00     2.21813E-01  X978
      621.00     2.21629E-01  X716
      622.00     2.21593E-01  X201
      623.00     2.21542E-01  X154
      624.00     2.21487E-01  X644
      625.00     2.21066E-01  X510
      626.00     2.20822E-01  X858
      627.00     2.19960E-01  X278
      628.00     2.19666E-01  X16
      629.00     2.19659E-01  X390
      630.00     2.18809E-01  X319
      631.00     2.18390E-01  X464
      632.00     2.17901E-01  X559
      633.00     2.17245E-01  X110
      634.00     2.17040E-01  X167
      635.00     2.16753E-01  X484
      636.00     2.16643E-01  X626
      637.00     2.16605E-01  X752
      638.00     2.16256E-01  X428
      639.00     2.16195E-01  X973
      640.00     2.15760E-01  X522
      641.00     2.15747E-01  X738
      642.00     2.15120E-01  X431
      643.00     2.14759E-01  X868
      644.00     2.14312E-01  X538
      645.00     2.14200E-01  X944
      646.00     2.13907E-01  X574
      647.00     2.13804E-01  X934
      648.00     2.12473E-01  X377
      649.00     2.12222E-01  X26
      650.00     2.11572E-01  X347
      651.00     2.11452E-01  X107
      652.00     2.10669E-01  X66
      653.00     2.09603E-01  X877
      654.00     2.09258E-01  X744
      655.00     2.08340E-01  X654
      656.00     2.08260E-01  X741
      657.00     2.08256E-01  X224
      658.00     2.08157E-01  X964
      659.00     2.08123E-01  X657
      660.00     2.07637E-01  X157
      661.00     2.07576E-01  X768
      662.00     2.07503E-01  X206
      663.00     2.07230E-01  X665
      664.00     2.05797E-01  X653
      665.00     2.04942E-01  X61
      666.00     2.04875E-01  X203
      667.00     2.04457E-01  X55
      668.00     2.03915E-01  X560
      669.00     2.03522E-01  X185
      670.00     2.03514E-01  X176
      671.00     2.03345E-01  X98
      672.00     2.02859E-01  X623
      673.00     2.02848E-01  X302
      674.00     2.02843E-01  X378
      675.00     2.02784E-01  X791
      676.00     2.02150E-01  X40
      677.00     2.02105E-01  X846
      678.00     2.02035E-01  X652
      679.00     2.00803E-01  X532
      680.00     2.00153E-01  X493
      681.00     1.99555E-01  X705
      682.00     1.99495E-01  X656
      683.00     1.99347E-01  X285
      684.00     1.98835E-01  X151
      685.00     1.98701E-01  X956
      686.00     1.98657E-01  X465
      687.00     1.98657E-01  X260
      688.00     1.98277E-01  X922
      689.00     1.97652E-01  X43
      690.00     1.97446E-01  X436
      691.00     1.97073E-01  X195
      692.00     1.96490E-01  X840
      693.00     1.96396E-01  X498
      694.00     1.96217E-01  X354
      695.00     1.94633E-01  X784
      696.00     1.94398E-01  X356
      697.00     1.94224E-01  X307
      698.00     1.93861E-01  X68
      699.00     1.93764E-01  X946
      700.00     1.93289E-01  X727
      701.00     1.92742E-01  X847
      702.00     1.92235E-01  X801
      703.00     1.92224E-01  X233
      704.00     1.91809E-01  X368
      705.00     1.90975E-01  X550
      706.00     1.90881E-01  X595
      707.00     1.90788E-01  X163
      708.00     1.90408E-01  X926
      709.00     1.90340E-01  X706
      710.00     1.90207E-01  X955
      711.00     1.90055E-01  X981
      712.00     1.89810E-01  X972
      713.00     1.88646E-01  X845
      714.00     1.87895E-01  X349
      715.00     1.87669E-01  X67
      716.00     1.87254E-01  X917
      717.00     1.86797E-01  X427
      718.00     1.86602E-01  X382
      719.00     1.85925E-01  X825
      720.00     1.85303E-01  X236
      721.00     1.84932E-01  X191
      722.00     1.83294E-01  X546
      723.00     1.83259E-01  X32
      724.00     1.83173E-01  X950
      725.00     1.83004E-01  X417
      726.00     1.82655E-01  X137
      727.00     1.82648E-01  X135
      728.00     1.82206E-01  X940
      729.00     1.82201E-01  X870
      730.00     1.82035E-01  X200
      731.00     1.81228E-01  X762
      732.00     1.80300E-01  X639
      733.00     1.79979E-01  X959
      734.00     1.79958E-01  X126
      735.00     1.79162E-01  X127
      736.00     1.79153E-01  X161
      737.00     1.78529E-01  X902
      738.00     1.78124E-01  X810
      739.00     1.77429E-01  X474
      740.00     1.77239E-01  X881
      741.00     1.76981E-01  X928
      742.00     1.76693E-01  X388
      743.00     1.76185E-01  X915
      744.00     1.75551E-01  X848
      745.00     1.74885E-01  X875
      746.00     1.74723E-01  X446
      747.00     1.74640E-01  X353
      748.00     1.73742E-01  X701
      749.00     1.73536E-01  X947
      750.00     1.72321E-01  X229
      751.00     1.71854E-01  X748
      752.00     1.71608E-01  X678
      753.00     1.71402E-01  X165
      754.00     1.70955E-01  X817
      755.00     1.70641E-01  X561
      756.00     1.69998E-01  X30
      757.00     1.69138E-01  X841
      758.00     1.69016E-01  X488
      759.00     1.68585E-01  X72
      760.00     1.68510E-01  X746
      761.00     1.68395E-01  X666
      762.00     1.68380E-01  X568
      763.00     1.68167E-01  X193
      764.00     1.68143E-01  X686
      765.00     1.67811E-01  X376
      766.00     1.67581E-01  X357
      767.00     1.67267E-01  X805
      768.00     1.67093E-01  X873
      769.00     1.66713E-01  X189
      770.00     1.66438E-01  X826
      771.00     1.66312E-01  X640
      772.00     1.65632E-01  X760
      773.00     1.65220E-01  X699
      774.00     1.65161E-01  X245
      775.00     1.64258E-01  X527
      776.00     1.64200E-01  X197
      777.00     1.64180E-01  X320
      778.00     1.64081E-01  X823
      779.00     1.64064E-01  X261
      780.00     1.63630E-01  X404
      781.00     1.62838E-01  X306
      782.00     1.62674E-01  X539
      783.00     1.62053E-01  X363
      784.00     1.61926E-01  X565
      785.00     1.61644E-01  X143
      786.00     1.61617E-01  X495
      787.00     1.61445E-01  X664
      788.00     1.61176E-01  X413
      789.00     1.60017E-01  X46
      790.00     1.59981E-01  X544
      791.00     1.59068E-01  X800
      792.00     1.58867E-01  X887
      793.00     1.58851E-01  X764
      794.00     1.57537E-01  X332
      795.00     1.57457E-01  X713
      796.00     1.57436E-01  X155
      797.00     1.56013E-01  X613
      798.00     1.55751E-01  X213
      799.00     1.55694E-01  X256
      800.00     1.55687E-01  X255
      801.00     1.55495E-01  X682
      802.00     1.55239E-01  X921
      803.00     1.55084E-01  X517
      804.00     1.54994E-01  X905
      805.00     1.54820E-01  X909
      806.00     1.54307E-01  X276
      807.00     1.53562E-01  X301
      808.00     1.52613E-01  X243
      809.00     1.52296E-01  X174
      810.00     1.52202E-01  X250
      811.00     1.51806E-01  X421
      812.00     1.51511E-01  X78
      813.00     1.50804E-01  X883
      814.00     1.50562E-01  X56
      815.00     1.49755E-01  X899
      816.00     1.49596E-01  X783
      817.00     1.49467E-01  X473
      818.00     1.49411E-01  X156
      819.00     1.49276E-01  X803
      820.00     1.48788E-01  X952
      821.00     1.48640E-01  X494
      822.00     1.48634E-01  X23
      823.00     1.48483E-01  X1
      824.00     1.47437E-01  X387
      825.00     1.47216E-01  Direct_tilet
      826.00     1.46824E-01  X695
      827.00     1.46629E-01  X983
      828.00     1.45733E-01  X409
      829.00     1.45589E-01  X603
      830.00     1.45341E-01  X693
      831.00     1.45017E-01  X355
      832.00     1.44003E-01  X821
      833.00     1.43844E-01  X20
      834.00     1.43765E-01  X667
      835.00     1.43626E-01  X290
      836.00     1.43526E-01  X460
      837.00     1.43380E-01  X690
      838.00     1.43042E-01  X150
      839.00     1.42557E-01  X975
      840.00     1.42155E-01  X990
      841.00     1.41301E-01  X437
      842.00     1.41081E-01  X36
      843.00     1.40214E-01  X704
      844.00     1.39487E-01  X375
      845.00     1.39266E-01  X496
      846.00     1.38935E-01  X876
      847.00     1.38574E-01  X337
      848.00     1.38521E-01  X333
      849.00     1.38458E-01  X534
      850.00     1.37767E-01  X732
      851.00     1.37749E-01  X709
      852.00     1.37653E-01  X913
      853.00     1.36785E-01  X142
      854.00     1.36389E-01  X326
      855.00     1.35749E-01  X448
      856.00     1.35604E-01  X364
      857.00     1.35413E-01  X587
      858.00     1.34248E-01  X890
      859.00     1.34171E-01  X283
      860.00     1.33581E-01  X318
      861.00     1.33495E-01  X750
      862.00     1.32773E-01  X707
      863.00     1.31527E-01  X879
      864.00     1.31252E-01  X282
      865.00     1.30400E-01  X1000
      866.00     1.30159E-01  X305
